ISO|Time|Value
ABW|03/28/2021|24
ABW|04/04/2021|38
ABW|04/11/2021|52
ABW|04/18/2021|65
ABW|04/25/2021|72
ABW|05/02/2021|76
ABW|05/09/2021|83
ABW|05/16/2021|97
ABW|05/23/2021|105
AFG|02/21/2021|0
AFG|02/28/2021|0
AFG|03/07/2021|
AFG|03/14/2021|0
AFG|03/21/2021|
AFG|03/28/2021|
AFG|04/04/2021|0
AFG|04/11/2021|
AFG|04/18/2021|1
AFG|04/25/2021|
AFG|05/02/2021|
AFG|05/09/2021|1
AFG|05/16/2021|1
AFG|05/23/2021|2
AGO|02/28/2021|0
AGO|03/07/2021|0
AGO|03/14/2021|0
AGO|03/21/2021|0
AGO|03/28/2021|0
AGO|04/04/2021|1
AGO|04/11/2021|1
AGO|04/18/2021|1
AGO|04/25/2021|
AGO|05/02/2021|
AGO|05/09/2021|2
AGO|05/16/2021|2
AGO|05/23/2021|3
AIA|01/31/2021|0
AIA|02/07/2021|9
AIA|02/14/2021|18
AIA|02/21/2021|26
AIA|02/28/2021|
AIA|03/07/2021|33
AIA|03/14/2021|36
AIA|03/21/2021|
AIA|03/28/2021|
AIA|04/04/2021|
AIA|04/11/2021|39
AIA|04/18/2021|46
AIA|04/25/2021|
AIA|05/02/2021|
AIA|05/09/2021|
AIA|05/16/2021|88
ALB|01/10/2021|0
ALB|01/17/2021|0
ALB|01/24/2021|
ALB|01/31/2021|0
ALB|02/07/2021|0
ALB|02/14/2021|0
ALB|02/21/2021|0
ALB|02/28/2021|1
ALB|03/07/2021|1
ALB|03/14/2021|1
ALB|03/21/2021|2
ALB|03/28/2021|6
ALB|04/04/2021|9
ALB|04/11/2021|11
ALB|04/18/2021|14
ALB|04/25/2021|17
ALB|05/02/2021|21
ALB|05/09/2021|23
ALB|05/16/2021|25
ALB|05/23/2021|26
AND|01/24/2021|1
AND|01/31/2021|1
AND|02/07/2021|2
AND|02/14/2021|3
AND|02/21/2021|3
AND|02/28/2021|
AND|03/07/2021|6
AND|03/14/2021|12
AND|03/21/2021|
AND|03/28/2021|
AND|04/04/2021|20
AND|04/11/2021|25
AND|04/18/2021|34
AND|04/25/2021|37
AND|05/02/2021|37
AND|05/09/2021|41
AND|05/16/2021|42
ARE|01/03/2021|10
ARE|01/10/2021|18
ARE|01/17/2021|25
ARE|01/24/2021|31
ARE|01/31/2021|42
ARE|02/07/2021|51
ARE|02/14/2021|56
ARE|02/21/2021|61
ARE|02/28/2021|63
ARE|03/07/2021|66
ARE|03/14/2021|73
ARE|03/21/2021|80
ARE|03/28/2021|87
ARE|04/04/2021|91
ARE|04/11/2021|97
ARE|04/18/2021|103
ARE|04/25/2021|107
ARE|05/02/2021|113
ARE|05/09/2021|116
ARE|05/16/2021|122
ARE|05/23/2021|127
ARG|01/03/2021|0
ARG|01/10/2021|0
ARG|01/17/2021|1
ARG|01/24/2021|1
ARG|01/31/2021|1
ARG|02/07/2021|1
ARG|02/14/2021|2
ARG|02/21/2021|2
ARG|02/28/2021|3
ARG|03/07/2021|5
ARG|03/14/2021|7
ARG|03/21/2021|8
ARG|03/28/2021|9
ARG|04/04/2021|12
ARG|04/11/2021|14
ARG|04/18/2021|16
ARG|04/25/2021|18
ARG|05/02/2021|20
ARG|05/09/2021|22
ARG|05/16/2021|24
ARG|05/23/2021|25
ARM|03/28/2021|0
ARM|04/04/2021|
ARM|04/11/2021|
ARM|04/18/2021|
ARM|04/25/2021|
ARM|05/02/2021|
ARM|05/09/2021|0
ARM|05/16/2021|1
ATG|02/14/2021|0
ATG|02/21/2021|
ATG|02/28/2021|
ATG|03/07/2021|
ATG|03/14/2021|26
ATG|03/21/2021|27
ATG|03/28/2021|28
ATG|04/04/2021|
ATG|04/11/2021|29
ATG|04/18/2021|30
ATG|04/25/2021|
ATG|05/02/2021|32
ATG|05/09/2021|32
ATG|05/16/2021|40
AUS|02/14/2021|0
AUS|02/21/2021|0
AUS|02/28/2021|0
AUS|03/07/2021|1
AUS|03/14/2021|1
AUS|03/21/2021|2
AUS|03/28/2021|3
AUS|04/04/2021|4
AUS|04/11/2021|6
AUS|04/18/2021|8
AUS|04/25/2021|9
AUS|05/02/2021|10
AUS|05/09/2021|12
AUS|05/16/2021|14
AUS|05/23/2021|15
AUT|01/03/2021|0
AUT|01/10/2021|1
AUT|01/17/2021|2
AUT|01/24/2021|3
AUT|01/31/2021|4
AUT|02/07/2021|5
AUT|02/14/2021|6
AUT|02/21/2021|8
AUT|02/28/2021|9
AUT|03/07/2021|12
AUT|03/14/2021|15
AUT|03/21/2021|18
AUT|03/28/2021|20
AUT|04/04/2021|24
AUT|04/11/2021|28
AUT|04/18/2021|32
AUT|04/25/2021|36
AUT|05/02/2021|41
AUT|05/09/2021|45
AUT|05/16/2021|51
AUT|05/23/2021|53
AZE|01/17/2021|0
AZE|01/24/2021|
AZE|01/31/2021|1
AZE|02/07/2021|
AZE|02/14/2021|
AZE|02/21/2021|
AZE|02/28/2021|3
AZE|03/07/2021|4
AZE|03/14/2021|5
AZE|03/21/2021|5
AZE|03/28/2021|9
AZE|04/04/2021|11
AZE|04/11/2021|13
AZE|04/18/2021|14
AZE|04/25/2021|15
AZE|05/02/2021|16
AZE|05/09/2021|18
AZE|05/16/2021|19
AZE|05/23/2021|20
BEL|01/03/2021|0
BEL|01/10/2021|1
BEL|01/17/2021|2
BEL|01/24/2021|3
BEL|01/31/2021|4
BEL|02/07/2021|5
BEL|02/14/2021|6
BEL|02/21/2021|7
BEL|02/28/2021|9
BEL|03/07/2021|11
BEL|03/14/2021|13
BEL|03/21/2021|16
BEL|03/28/2021|19
BEL|04/04/2021|22
BEL|04/11/2021|27
BEL|04/18/2021|30
BEL|04/25/2021|34
BEL|05/02/2021|40
BEL|05/09/2021|46
BEL|05/16/2021|52
BEL|05/23/2021|54
BEN|05/09/2021|0
BEN|05/16/2021|0
BES|04/04/2021|28
BGD|01/24/2021|0
BGD|01/31/2021|
BGD|02/07/2021|0
BGD|02/14/2021|1
BGD|02/21/2021|2
BGD|02/28/2021|2
BGD|03/07/2021|3
BGD|03/14/2021|3
BGD|03/21/2021|3
BGD|03/28/2021|3
BGD|04/04/2021|4
BGD|04/11/2021|4
BGD|04/18/2021|5
BGD|04/25/2021|5
BGD|05/02/2021|6
BGD|05/09/2021|6
BGD|05/16/2021|6
BGD|05/23/2021|6
BGR|01/03/2021|0
BGR|01/10/2021|0
BGR|01/17/2021|0
BGR|01/24/2021|1
BGR|01/31/2021|1
BGR|02/07/2021|1
BGR|02/14/2021|2
BGR|02/21/2021|3
BGR|02/28/2021|4
BGR|03/07/2021|5
BGR|03/14/2021|5
BGR|03/21/2021|6
BGR|03/28/2021|7
BGR|04/04/2021|8
BGR|04/11/2021|9
BGR|04/18/2021|10
BGR|04/25/2021|12
BGR|05/02/2021|13
BGR|05/09/2021|16
BGR|05/16/2021|18
BGR|05/23/2021|19
BHR|01/03/2021|5
BHR|01/10/2021|6
BHR|01/17/2021|
BHR|01/24/2021|
BHR|01/31/2021|
BHR|02/07/2021|
BHR|02/14/2021|
BHR|02/21/2021|
BHR|02/28/2021|30
BHR|03/07/2021|31
BHR|03/14/2021|38
BHR|03/21/2021|43
BHR|03/28/2021|47
BHR|04/04/2021|55
BHR|04/11/2021|62
BHR|04/18/2021|69
BHR|04/25/2021|73
BHR|05/02/2021|80
BHR|05/09/2021|86
BHR|05/16/2021|92
BHR|05/23/2021|96
BHS|03/07/2021|0
BHS|03/14/2021|0
BHS|03/21/2021|0
BHS|03/28/2021|2
BHS|04/04/2021|3
BHS|04/11/2021|4
BHS|04/18/2021|6
BHS|04/25/2021|7
BHS|05/02/2021|
BHS|05/09/2021|9
BHS|05/16/2021|13
BIH|02/07/2021|0
BIH|02/14/2021|
BIH|02/21/2021|
BIH|02/28/2021|
BIH|03/07/2021|
BIH|03/14/2021|
BIH|03/21/2021|
BIH|03/28/2021|
BIH|04/04/2021|0
BIH|04/11/2021|
BIH|04/18/2021|
BIH|04/25/2021|3
BIH|05/02/2021|
BIH|05/09/2021|
BIH|05/16/2021|4
BIH|05/23/2021|7
BLR|01/03/2021|
BLR|01/10/2021|
BLR|01/17/2021|
BLR|01/24/2021|
BLR|01/31/2021|
BLR|02/07/2021|
BLR|02/14/2021|0
BLR|02/21/2021|
BLR|02/28/2021|
BLR|03/07/2021|0
BLR|03/14/2021|
BLR|03/21/2021|1
BLR|03/28/2021|
BLR|04/04/2021|1
BLR|04/11/2021|
BLR|04/18/2021|3
BLR|04/25/2021|
BLR|05/02/2021|5
BLR|05/09/2021|
BLR|05/16/2021|
BLR|05/23/2021|8
BLZ|02/28/2021|0
BLZ|03/07/2021|2
BLZ|03/14/2021|4
BLZ|03/21/2021|5
BLZ|03/28/2021|6
BLZ|04/04/2021|7
BLZ|04/11/2021|9
BLZ|04/18/2021|10
BLZ|04/25/2021|11
BLZ|05/02/2021|12
BLZ|05/09/2021|13
BLZ|05/16/2021|18
BLZ|05/23/2021|18
BMU|01/10/2021|3
BMU|01/17/2021|5
BMU|01/24/2021|8
BMU|01/31/2021|15
BMU|02/07/2021|16
BMU|02/14/2021|21
BMU|02/21/2021|33
BMU|02/28/2021|38
BMU|03/07/2021|45
BMU|03/14/2021|49
BMU|03/21/2021|61
BMU|03/28/2021|
BMU|04/04/2021|73
BMU|04/11/2021|
BMU|04/18/2021|84
BMU|04/25/2021|90
BMU|05/02/2021|93
BMU|05/09/2021|103
BMU|05/16/2021|107
BMU|05/23/2021|111
BOL|01/24/2021|0
BOL|01/31/2021|0
BOL|02/07/2021|0
BOL|02/14/2021|
BOL|02/21/2021|
BOL|02/28/2021|1
BOL|03/07/2021|1
BOL|03/14/2021|1
BOL|03/21/2021|2
BOL|03/28/2021|3
BOL|04/04/2021|4
BOL|04/11/2021|5
BOL|04/18/2021|6
BOL|04/25/2021|7
BOL|05/02/2021|9
BOL|05/09/2021|9
BOL|05/16/2021|12
BOL|05/23/2021|13
BRA|01/10/2021|0
BRA|01/17/2021|0
BRA|01/24/2021|1
BRA|01/31/2021|2
BRA|02/07/2021|2
BRA|02/14/2021|3
BRA|02/21/2021|4
BRA|02/28/2021|5
BRA|03/07/2021|5
BRA|03/14/2021|6
BRA|03/21/2021|8
BRA|03/28/2021|10
BRA|04/04/2021|12
BRA|04/11/2021|15
BRA|04/18/2021|18
BRA|04/25/2021|20
BRA|05/02/2021|22
BRA|05/09/2021|25
BRA|05/16/2021|26
BRA|05/23/2021|30
BRB|02/14/2021|6
BRB|02/21/2021|13
BRB|02/28/2021|17
BRB|03/07/2021|18
BRB|03/14/2021|21
BRB|03/21/2021|22
BRB|03/28/2021|22
BRB|04/04/2021|23
BRB|04/11/2021|24
BRB|04/18/2021|25
BRB|04/25/2021|32
BRB|05/02/2021|37
BRB|05/09/2021|41
BRB|05/16/2021|45
BRB|05/23/2021|46
BRN|03/28/2021|0
BRN|04/04/2021|1
BRN|04/11/2021|
BRN|04/18/2021|2
BRN|04/25/2021|
BRN|05/02/2021|4
BRN|05/09/2021|
BRN|05/16/2021|8
BTN|03/21/2021|11
BTN|03/28/2021|60
BTN|04/04/2021|61
BTN|04/11/2021|62
BTN|04/18/2021|62
BTN|04/25/2021|62
BTN|05/02/2021|62
BTN|05/09/2021|62
BTN|05/16/2021|63
BTN|05/23/2021|63
BWA|03/21/2021|0
BWA|03/28/2021|1
BWA|04/04/2021|1
BWA|04/11/2021|2
BWA|04/18/2021|2
BWA|04/25/2021|2
BWA|05/02/2021|2
BWA|05/09/2021|3
CAF|05/09/2021|0
CAN|01/03/2021|1
CAN|01/10/2021|1
CAN|01/17/2021|2
CAN|01/24/2021|3
CAN|01/31/2021|3
CAN|02/07/2021|3
CAN|02/14/2021|4
CAN|02/21/2021|5
CAN|02/28/2021|6
CAN|03/07/2021|8
CAN|03/14/2021|10
CAN|03/21/2021|13
CAN|03/28/2021|17
CAN|04/04/2021|21
CAN|04/11/2021|26
CAN|04/18/2021|31
CAN|04/25/2021|36
CAN|05/02/2021|41
CAN|05/09/2021|48
CAN|05/16/2021|55
CAN|05/23/2021|58
CHE|01/24/2021|4
CHE|01/31/2021|5
CHE|02/07/2021|6
CHE|02/14/2021|8
CHE|02/21/2021|9
CHE|02/28/2021|11
CHE|03/07/2021|13
CHE|03/14/2021|14
CHE|03/21/2021|16
CHE|03/28/2021|18
CHE|04/04/2021|21
CHE|04/11/2021|24
CHE|04/18/2021|28
CHE|04/25/2021|32
